Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRN36,OUT049,1647.8213745484363
NCY06,OUT035,2165.9418126150754
FDE52,OUT035,1595.4627163342634
NCB54,OUT045,1958.0140873700516
NCF31,OUT035,2541.544069348385
FDJ08,OUT027,4480.576579137078
NCC07,OUT017,1785.420707891475
NCD19,OUT027,2317.8452717575224
FDL46,OUT049,1996.7712289664955
FDM20,OUT045,3857.029371829173
NCI06,OUT010,915.9972984356202
DRM11,OUT035,4239.898342659443
NCH07,OUT018,2201.663736430731
FDS23,OUT013,2091.8836100356148
FDO49,OUT018,600.1156023717274
FDS35,OUT049,1165.440986972431
DRK39,OUT045,1271.4589373890426
DRI39,OUT049,1049.792253209688
FDV04,OUT017,2615.291285071787
NCN14,OUT035,3016.6740606360686
FDH08,OUT013,3727.45117514112
FDS20,OUT046,2939.527044577138
FDV40,OUT049,1313.0454385989074
FDZ48,OUT010,-144.43718260146125
FDS24,OUT027,2914.1497296292728
FDK44,OUT049,2885.246222440533
FDS48,OUT045,2331.686668584474
FDK26,OUT010,1128.7954100724673
FDD23,OUT045,2991.40293862926
NCH54,OUT017,2635.570253519682
NCP14,OUT010,-260.8340790469191
FDM60,OUT010,-1199.1020145591772
FDV24,OUT017,2508.039806005988
FDH08,OUT018,3383.1621815669423
FDS12,OUT027,3468.2231060470485
FDR39,OUT027,4314.982217731535
FDP12,OUT027,2122.433418840558
DRF60,OUT027,5165.368191265251
FDC09,OUT035,1882.226245235076
FDF50,OUT018,2883.8631517548224
FDG28,OUT035,4016.8310115724453
NCE19,OUT017,979.9500782134112
NCM53,OUT010,-180.62037025935558
NCN18,OUT049,1847.0693056040855
FDF32,OUT035,3331.056285687463
FDF11,OUT013,3891.680520649742
DRI59,OUT049,3668.0324721168654
NCG54,OUT035,2798.207971877497
FDM44,OUT046,1674.3765572395928
FDT57,OUT018,3457.7980110710178
FDV24,OUT046,2402.566317942723
FDI50,OUT019,1783.7911659153078
FDS09,OUT035,1025.0066832944026
NCC31,OUT027,3886.141475685172
FDQ07,OUT019,1627.4620949189948
FDC22,OUT017,3162.054329546032
FDZ56,OUT046,2733.8638706751935
FDZ40,OUT019,-1023.3059021655226
FDS46,OUT027,3385.6420032561455
DRD24,OUT045,2159.0456023780175
FDV45,OUT017,3100.511084121397
FDL26,OUT045,2437.2720125111914
FDA56,OUT018,1738.7555858361447
FDN27,OUT046,1903.9785651987627
FDM20,OUT049,4004.9846806692585
FDO16,OUT017,1435.0930694017543
FDL03,OUT035,3298.1770092654215
FDE58,OUT046,1871.683940293451
FDI02,OUT027,3310.2946849873433
NCC55,OUT019,-1278.292464524549
FDR03,OUT018,3039.642434737834
FDB14,OUT017,1662.5834772930539
FDR45,OUT013,3836.700721703178
NCN07,OUT017,2173.2480882657683
FDM51,OUT019,-194.98325410351242
FDT52,OUT027,5338.7516516793785
FDL26,OUT046,2483.976642505996
NCZ42,OUT046,3751.932583210457
DRI47,OUT019,442.2619037931888
FDW40,OUT013,2291.1832103439833
FDN34,OUT046,2724.594194428844
FDS01,OUT035,3015.37849509431
NCG55,OUT045,1765.0070852870467
FDC11,OUT035,1565.8047201627478
FDX35,OUT018,3349.073493154463
NCB06,OUT046,2541.7643993647484
FDR09,OUT019,2184.6077713432915
FDC53,OUT017,1656.5913969682488
FDY45,OUT013,4052.625077477849
FDA22,OUT010,774.9624751815702
FDE02,OUT035,1696.3133504907928
FDW21,OUT045,1602.2200374341364
FDV34,OUT046,1247.2985613406217
FDS59,OUT049,1907.4660055965355
NCW17,OUT017,2155.2340260750548
NCK54,OUT046,1852.6326657695035
FDG17,OUT019,1983.7298255368423
FDG35,OUT017,2921.411205180776
FDD08,OUT010,-1231.3122786319634
NCO07,OUT017,3441.6293215279684
FDJ10,OUT010,357.1652960507379
FDW36,OUT017,1784.2040765652418
FDW21,OUT010,-246.74926649320514
FDY19,OUT017,2035.5731173993095
DRE03,OUT013,827.3214810769523
NCC55,OUT049,710.3179103293985
FDH52,OUT010,-848.8878594623949
FDO09,OUT017,4298.855066231001
FDU43,OUT045,3789.877047615223
FDX09,OUT010,851.4179767285527
FDH40,OUT019,-542.886908720356
FDW58,OUT017,1791.3131193268227
FDC47,OUT017,3675.7474777702273
NCR41,OUT035,1673.6751333859784
DRG49,OUT035,3984.647279560125
FDC52,OUT027,3883.117032607871
FDY13,OUT046,1252.6662533736758
FDY35,OUT013,834.6912545800642
FDI35,OUT017,3019.1473782804846
NCU18,OUT049,2320.3531337740733
FDY33,OUT018,2271.052847120462
FDC15,OUT027,3882.266551469337
FDU01,OUT049,3128.9772435125074
NCU42,OUT046,2669.6465368151876
NCV29,OUT018,2547.0282372862794
NCY30,OUT017,2980.744985824628
FDQ46,OUT049,1879.2672536962227
FDG58,OUT027,3927.0560692072495
FDK33,OUT017,3484.092592425269
NCD07,OUT045,1751.7306850130167
NCX29,OUT027,3740.246893802654
NCT42,OUT013,2368.6115559697987
DRN59,OUT035,918.0507249944274
FDI44,OUT035,1453.1521670366428
FDA45,OUT049,2896.549413869996
FDP31,OUT045,1059.7196634363245
FDY01,OUT046,1893.0747825366234
FDT09,OUT018,1891.7333626265213
DRH03,OUT027,2979.3033627433424
FDA36,OUT018,2701.0826441457207
NCF31,OUT017,2514.405392150734
FDG14,OUT049,2580.9635582093397
FDG28,OUT027,5347.616910694764
FDU14,OUT049,4006.533131117587
FDY47,OUT019,248.76292737836002
FDI56,OUT049,1584.4079227903358
DRD01,OUT013,984.1592128744719
FDM22,OUT046,944.1043361418551
FDH33,OUT013,720.9271383926073
DRZ24,OUT013,1901.7477721497817
NCQ38,OUT046,1687.9569821164164
FDO16,OUT027,2799.154606623809
FDU07,OUT027,3861.558892153511
NCB07,OUT013,3075.633926567233
FDU48,OUT045,2048.07502277859
NCM43,OUT045,2548.823161883778
FDR31,OUT010,464.1670939383107
DRK49,OUT018,400.843747240775
NCI30,OUT010,1912.8733682650645
DRD60,OUT017,2962.973402573315
NCG19,OUT046,3663.9029545312096
FDH12,OUT035,1831.9212256380379
FDM32,OUT035,1669.7805691207855
FDM27,OUT035,2650.4905435645314
NCU53,OUT027,4082.1807203473454
NCQ18,OUT046,1546.2596751793849
FDS10,OUT013,2873.7146929234686
FDB33,OUT027,4000.488028326964
FDI12,OUT013,1459.3699887798043
NCW42,OUT013,3499.553040685636
NCC06,OUT018,1753.7176657473597
FDW02,OUT017,2119.073012280877
NCD43,OUT017,1758.5846994196618
FDM57,OUT018,1100.0073843796058
FDA58,OUT017,3828.8982633699716
FDK56,OUT046,2954.7106427863105
FDP52,OUT045,3602.584343797067
FDW20,OUT018,1750.309026707686
FDS52,OUT049,1703.907270465942
NCT29,OUT018,1636.657104083854
NCL54,OUT013,2795.11426819259
FDC05,OUT045,3080.842591674274
FDF34,OUT035,3308.40400117868
FDP03,OUT027,3486.662956065482
FDD32,OUT010,-484.29003172554116
FDZ10,OUT045,1963.1669370055497
FDZ40,OUT035,1022.0048990377743
FDD51,OUT018,397.2801809946725
NCY30,OUT019,929.3249751851381
FDP58,OUT017,3526.372532070858
FDV49,OUT017,4312.018720244166
FDY24,OUT019,-1016.2557619556273
NCO55,OUT017,1803.3597119281526
FDR13,OUT017,2054.2111354703043
FDS51,OUT017,1134.8507525797413
FDP26,OUT045,1549.1399631825639
NCB54,OUT027,3513.32891696165
FDF32,OUT017,3260.2994822675855
FDN31,OUT018,2752.593769132856
DRM48,OUT017,685.6081998970812
FDN20,OUT049,2825.9026941647962
DRL01,OUT046,3707.159994783231
FDV56,OUT049,1908.8586161071098
DRH13,OUT027,3167.7763474688
FDA03,OUT017,2425.4719906986766
FDF47,OUT027,5007.094925583466
FDX32,OUT046,2401.829848342907
FDX57,OUT049,1692.2250920169176
NCA30,OUT045,2901.1302084201707
FDO49,OUT013,911.7269495562082
FDL04,OUT019,-255.48046888885312
DRM48,OUT035,743.9729867738374
FDR16,OUT013,3398.279873929646
NCC19,OUT018,2732.9941805037242
NCE42,OUT045,3629.422655174453
FDY24,OUT017,1042.198766112096
FDH19,OUT049,2894.079798598228
FDJ46,OUT013,2781.6491789390197
FDN45,OUT010,1602.4414945667327
FDY08,OUT035,2426.5768608125427
FDZ37,OUT035,1628.2766211396438
NCT30,OUT045,682.5750370415435
DRY23,OUT018,437.1958604750937
NCZ30,OUT018,1645.2458599716765
FDC44,OUT018,1548.331350051421
FDB45,OUT035,1871.21850195434
FDY04,OUT013,2649.822194457047
FDM27,OUT046,2577.611068179481
FDZ43,OUT017,3991.509854981662
FDT39,OUT019,566.1168482592434
NCC06,OUT019,105.72329713612248
FDL15,OUT027,3902.4718312451005
FDL57,OUT017,4201.712512139996
FDU08,OUT046,1633.1740421814561
FDK40,OUT017,4255.802869075363
FDQ12,OUT010,1717.4432761603452
FDS48,OUT017,2525.0784361577703
FDP09,OUT045,3286.4816118311182
FDW21,OUT049,1740.8297837904915
FDY25,OUT035,3053.9497430824395
DRE13,OUT017,1475.5075865248482
FDV43,OUT019,-1155.6214508622343
FDD22,OUT045,1707.5813906350213
FDM46,OUT019,-454.17357438011464
NCO30,OUT010,999.575499181215
FDM25,OUT046,2812.2822187212655
NCN41,OUT049,2061.4820301122772
FDU24,OUT045,1464.3399888943045
FDZ50,OUT046,2906.89530244531
FDP45,OUT013,4043.0292754229467
NCM54,OUT045,1917.1556682692894
FDW10,OUT019,871.2569751297631
FDP20,OUT017,2187.9725919550388
FDK32,OUT046,2485.743377030945
FDN52,OUT049,1517.9090471255868
FDM58,OUT045,1749.1456870571064
FDZ46,OUT027,3219.8766300226243
NCA18,OUT018,1567.184348981798
FDD35,OUT046,1985.843569986584
NCK31,OUT035,959.6433587370627
FDI40,OUT027,3072.0321187280183
FDT50,OUT019,-350.4296637713418
NCT06,OUT046,2591.373573123276
FDT31,OUT035,3169.5782586057476
FDT45,OUT049,971.6503423331387
FDT13,OUT045,2938.0701611243962
FDO50,OUT045,1426.761707098689
NCU18,OUT010,296.14231295891113
NCR54,OUT049,3147.472542474584
NCO18,OUT018,2526.679592523449
FDU09,OUT045,894.1337017631524
FDT13,OUT018,2736.5446500956355
FDE09,OUT046,1844.936770106117
NCK53,OUT019,-269.0025232802059
FDG45,OUT049,3506.1440307603325
DRH15,OUT035,887.0250448401971
FDO21,OUT019,1696.9520610161776
FDD14,OUT027,4376.256579113683
FDC09,OUT046,1738.6457501693599
FDH45,OUT027,2243.166247461688
FDV32,OUT046,1094.098738001785
FDG12,OUT035,2112.2139078624314
FDS32,OUT013,2351.777559929292
NCL55,OUT018,3670.1544393742106
DRE01,OUT035,3941.9214459315817
DRE15,OUT049,1360.3513386438995
NCL42,OUT045,3801.3516558022748
FDP31,OUT013,1134.0774300950907
FDN33,OUT018,1252.3956500471108
FDZ59,OUT046,2657.033663763104
FDE45,OUT010,953.6689571102106
FDJ07,OUT013,1943.4839031514193
FDQ45,OUT018,2695.5666200670034
FDM33,OUT027,4903.024086773507
FDO15,OUT010,-618.5218283458325
FDM46,OUT013,1493.9257337329836
FDR03,OUT045,3245.83395056451
FDY49,OUT018,2451.8760486100964
FDQ60,OUT045,1868.794247501853
FDW10,OUT049,2887.265649010221
FDO51,OUT049,895.6821961234782
FDJ40,OUT018,1491.8369576179252
FDS20,OUT018,2649.250794587236
FDU45,OUT013,1877.3326637003383
FDV02,OUT035,2789.6999666164124
FDN09,OUT046,3825.979441432147
NCM55,OUT027,4392.777024403008
FDN23,OUT018,2077.293169884017
FDY31,OUT010,435.6718569060258
FDW03,OUT010,-145.83809325429036
FDD14,OUT046,2914.202908550349
FDV23,OUT017,2114.962613010165
DRI03,OUT045,2728.755662212682
FDN13,OUT035,1733.127540490364
FDF45,OUT027,2523.070240244772
FDU46,OUT035,1606.566446390916
FDB57,OUT049,3700.2213057676827
FDV12,OUT049,1749.1182238881906
FDQ58,OUT013,2441.8005598880136
NCA18,OUT017,1930.304914587959
FDH52,OUT049,1123.5722385705203
FDM24,OUT018,2156.0763976768244
NCP43,OUT027,4315.648815214208
NCO18,OUT019,880.6662955703057
FDM32,OUT017,1622.4457490274763
NCL07,OUT017,739.9003709510844
FDK03,OUT013,4020.5400648220275
FDP59,OUT017,1804.907604066616
FDQ24,OUT049,4058.4643566830064
FDQ16,OUT018,1464.5035213250812
FDU44,OUT013,2663.127864220607
FDH28,OUT010,-1264.113380082505
FDV28,OUT019,-1316.0978715404103
FDM22,OUT045,862.7180769116821
FDR56,OUT046,3173.8641553012003
FDV39,OUT049,3232.509260112627
FDU37,OUT019,-541.5225438927523
FDQ11,OUT010,2190.2881079971867
FDX02,OUT045,3419.644651370789
NCS42,OUT018,1181.827006546171
FDY57,OUT027,2998.866836614385
FDB21,OUT049,3929.3374409197077
FDE28,OUT017,3738.1737787319926
FDQ55,OUT017,2010.0460971961052
FDA48,OUT049,3608.537418717059
FDZ19,OUT045,2724.8586797751273
NCC43,OUT045,3871.734053895285
NCV18,OUT046,1284.3883385252734
NCA42,OUT018,2226.2310084533174
FDY45,OUT046,4047.1343832219372
NCC30,OUT045,2742.7726139109627
FDM57,OUT013,1445.9230440374986
FDL09,OUT010,740.1976544878719
FDB09,OUT027,3482.113628103175
FDT44,OUT035,2072.404830216461
NCT06,OUT027,4033.032321778017
FDX26,OUT049,2952.839933025979
FDK32,OUT013,2547.5834340383935
DRA12,OUT046,2262.2682742915867
FDO46,OUT010,1114.4407086335868
FDE52,OUT013,1437.426915944939
NCH42,OUT045,3539.670161438973
FDV08,OUT035,894.0792836739156
FDB47,OUT018,3046.5403429372677
FDC28,OUT010,-165.32711989824327
FDD22,OUT046,1808.792879736604
FDS07,OUT027,3322.8549912476346
DRI13,OUT045,3350.2175631234313
FDG32,OUT018,3254.628311305789
FDU14,OUT017,4015.5025907384397
FDD28,OUT019,-953.0893351769295
NCP41,OUT017,1870.3685087463837
FDS08,OUT049,2910.7111134584356
FDX47,OUT045,2495.6467969234277
FDC53,OUT019,-285.852585299397
FDQ19,OUT035,4039.681050866103
FDL14,OUT045,2474.701143816806
FDM33,OUT019,1577.3655465249926
FDA51,OUT045,1717.8394843871833
FDZ27,OUT018,497.83573345383957
FDT04,OUT046,662.711229292278
DRC13,OUT049,2120.36364563438
FDR16,OUT027,4854.456616732967
FDQ03,OUT027,5223.745560167407
FDE38,OUT035,2843.696692172236
DRH23,OUT027,2371.906074808347
FDT11,OUT019,1140.8961071177414
FDD09,OUT035,3039.4325895822835
FDR40,OUT045,1278.3106033297304
FDX07,OUT017,3101.1876578392717
FDR07,OUT035,1738.876510062471
FDA51,OUT017,1907.345435080144
FDT59,OUT019,1766.919002257432
FDF20,OUT017,3236.4175098518044
FDR13,OUT045,1852.1294830336528
FDY26,OUT049,3427.8802066476765
FDW04,OUT017,2198.8892064595207
FDK52,OUT017,3663.5997899001304
FDN60,OUT049,2594.4994256620366
FDM09,OUT019,836.782071915186
FDP46,OUT049,1509.0289755622853
FDB50,OUT019,-624.5222946080498
NCQ29,OUT049,4165.2318071441905
FDP16,OUT027,5306.462317119318
FDX33,OUT018,2306.702524441732
FDP07,OUT010,1222.7362550503385
FDN22,OUT046,3981.6931793903577
FDF39,OUT049,4220.481025258815
FDS21,OUT017,1149.0633501622888
NCM42,OUT013,1727.1341352662826
FDK50,OUT019,740.8405196867211
DRF13,OUT027,3777.181599322993
FDH35,OUT018,2355.696836870336
FDP60,OUT018,1332.073611900974
DRJ49,OUT027,3519.390827109596
NCT42,OUT019,442.0931010589504
FDE38,OUT049,2795.1529505420986
FDI04,OUT049,3259.524112794282
NCH54,OUT045,2405.501994406593
FDT56,OUT049,1131.4478077900876
DRD15,OUT018,3395.1929224391088
FDV58,OUT013,3097.0312680925936
FDP21,OUT049,3107.088079146145
FDH05,OUT013,3721.1146163882067
FDR10,OUT027,4024.7686219375973
NCP06,OUT045,2282.5019740514063
FDF33,OUT049,2006.8033603125473
DRK37,OUT013,2996.519393957284
DRH49,OUT045,1276.126610805542
FDT58,OUT013,2679.276172735441
FDD41,OUT018,1412.7108870874217
FDP40,OUT018,1519.263617022411
FDM51,OUT027,3141.1157501210782
FDO45,OUT010,-475.3208279953025
FDW33,OUT010,-229.00426654546698
FDY24,OUT045,873.1052450109341
FDB10,OUT010,1824.1366777889152
FDM40,OUT035,2356.6519805674343
NCI06,OUT017,2943.165824131598
FDW12,OUT019,444.3035441022341
FDX48,OUT027,3967.8825740324983
NCW05,OUT027,3145.698680458422
FDX27,OUT017,1623.086727622157
DRM37,OUT045,3040.931669944083
FDA38,OUT045,3707.065939736457
FDR36,OUT046,709.6026204822263
FDZ45,OUT046,3141.3115613114724
FDG05,OUT017,2637.4781559099183
FDK28,OUT013,4085.7029733150985
FDV47,OUT045,1332.0051973086324
FDN21,OUT045,2473.056374332389
FDP20,OUT027,3522.5298082401123
FDI35,OUT045,2845.1022063305813
DRY23,OUT013,767.5815267401149
FDA56,OUT017,2115.9070583474495
FDB09,OUT013,2038.4390604318019
NCO26,OUT027,3292.3562180387744
FDQ49,OUT018,2272.4227463228667
FDI52,OUT027,3375.997186477721
FDZ44,OUT027,3372.0394368762754
FDZ09,OUT018,2318.5098296149936
FDY03,OUT049,1954.7833336424537
NCG42,OUT017,2152.2639239067453
DRI13,OUT027,4886.799130905384
FDQ32,OUT013,2121.203886927857
FDW16,OUT035,1638.1616904084021
FDU27,OUT046,806.1963902731875
FDR28,OUT010,703.2865083202626
FDQ49,OUT010,659.5804791236205
FDS37,OUT046,1899.3346764329713
FDW26,OUT018,3193.809160331036
FDX12,OUT018,3586.499357660313
NCP06,OUT013,2403.4836766769768
FDW45,OUT010,398.8258913353384
NCN30,OUT049,1599.55173532976
FDN24,OUT049,969.7649948291557
NCL41,OUT027,2014.4899027395636
FDR02,OUT019,-172.7997060794214
FDD09,OUT010,1001.8850196271619
FDS33,OUT010,-472.17360911929444
FDU22,OUT045,1831.640048568957
FDI53,OUT013,2615.2234169687176
DRH01,OUT049,2856.996352215246
FDX32,OUT013,2378.047073021966
NCP30,OUT018,369.0242837498554
FDB60,OUT045,3047.062139308233
FDB14,OUT049,1667.694515301153
NCP02,OUT035,1071.0620109153713
FDJ10,OUT017,2361.813192900072
FDG34,OUT046,1810.558897788314
NCB18,OUT017,1497.1112883495393
FDM16,OUT049,1331.7492911681938
FDW25,OUT018,1121.3845223800718
FDB35,OUT010,-377.021181807062
DRN11,OUT013,2296.1812820991186
FDF41,OUT019,1963.6078390937714
FDH16,OUT045,1335.6717830008606
NCQ50,OUT018,3058.0232432892917
DRH23,OUT018,645.9286074044103
DRJ37,OUT013,2427.9383123542752
DRJ24,OUT027,4346.220584243363
FDY16,OUT035,3065.24664805801
FDQ27,OUT045,1671.709804279079
FDZ33,OUT045,2279.4988082655213
FDF29,OUT045,2057.8742782795557
FDA08,OUT049,2769.908871708436
FDG31,OUT046,1076.4010297083844
FDE34,OUT019,1011.0509510824852
NCR30,OUT027,2616.188512843483
FDV33,OUT035,4259.947779453695
DRZ24,OUT018,1627.8043941818291
NCL54,OUT035,2859.723839991777
FDR12,OUT049,2896.647128575242
NCC54,OUT046,3807.3917270665725
DRN59,OUT013,805.1565954781331
FDX50,OUT019,-181.95560986042312
FDV31,OUT027,4304.7647090445535
NCA29,OUT027,4168.098624083431
FDW60,OUT049,2961.3377965978843
FDX08,OUT017,3042.1356181017177
DRD49,OUT013,3718.4169594338764
FDD33,OUT046,3677.596721488946
FDW35,OUT013,765.326135200196
FDJ36,OUT017,1791.546817881671
FDV51,OUT035,2799.4639232531513
FDW36,OUT046,1717.5909913587461
FDH35,OUT046,2653.764239144357
NCS30,OUT027,3500.348996020549
FDN49,OUT017,790.8751890098929
FDL08,OUT018,3643.5136759406596
FDI09,OUT013,4038.2724152139554
FDP19,OUT018,1798.7008518504354
FDU21,OUT010,-1321.5230564187696
NCP41,OUT045,1666.7188509051675
FDY10,OUT013,1834.6261390208947
FDP12,OUT018,392.05621697589254
NCN26,OUT049,1931.688529662346
FDK44,OUT013,2820.9535383573725
FDC28,OUT049,1827.604902127373
FDJ41,OUT027,5587.987159638385
NCT29,OUT035,2115.677750693383
NCH42,OUT019,1683.7357810594685
FDU60,OUT018,2426.1078962671063
FDS02,OUT045,2967.0192220122167
FDC51,OUT046,1978.765337332673
FDU03,OUT013,2967.459389143349
FDX39,OUT045,3330.1207906751806
NCY05,OUT010,-1296.0501553899244
NCL06,OUT027,5514.425207504542
FDD32,OUT035,1521.0607387965379
NCN41,OUT045,1893.2846067336877
NCX53,OUT049,2361.0328248336887
FDU57,OUT019,507.94792713401444
FDQ23,OUT046,1693.0975926620945
FDQ52,OUT045,3824.3812325799545
FDC14,OUT045,686.2851022094476
FDY09,OUT035,2952.5531079068005
FDQ28,OUT045,2439.2667713662318
FDV25,OUT046,3529.0801504685887
FDJ07,OUT035,2022.1168559864936
DRB25,OUT049,1778.6679044475309
FDK52,OUT019,1630.5514586787567
FDY52,OUT027,2476.1338638683746
FDB28,OUT046,3080.1003167560452
FDT36,OUT035,752.3279174915508
FDV25,OUT017,3650.202563519906
NCN07,OUT027,3524.901993708402
FDC57,OUT017,3245.883589927176
FDQ03,OUT018,3504.1961101229917
FDU23,OUT017,2780.4138567998725
NCX41,OUT035,3514.3968650031566
NCD06,OUT035,881.4987690808773
FDW08,OUT045,1658.6878603235987
NCU29,OUT017,2420.458034226139
NCE06,OUT013,2549.3837989539084
FDV52,OUT010,-33.84017619614474
FDB02,OUT017,2988.0783701344762
NCR18,OUT045,628.1704232344089
FDK16,OUT049,1596.6154123708143
NCQ29,OUT010,2140.894530899073
FDZ01,OUT019,-142.76659289999907
FDW27,OUT035,2666.475046901972
FDD17,OUT018,3463.454880244749
FDW39,OUT013,2886.608666840424
DRH59,OUT045,1121.7198543686177
FDS52,OUT013,1658.2304037741887
FDU40,OUT027,4526.532592492458
NCF54,OUT013,2757.951721309669
FDH46,OUT045,1624.823308519658
NCP14,OUT049,1717.784903592576
FDH50,OUT049,3108.9026893151045
DRF15,OUT010,537.3620594254014
FDV27,OUT027,2916.106332778689
NCJ06,OUT049,1994.6745211298116
FDN02,OUT018,3002.52378907208
FDQ51,OUT049,923.4604756695776
FDQ07,OUT017,3696.2476526896535
FDS45,OUT049,1830.4722985693397
NCJ06,OUT045,1843.6057445537567
FDD36,OUT035,2037.3706368078924
FDY25,OUT045,2863.683608408115
FDU52,OUT046,2442.5297640436497
DRK47,OUT017,3698.6150132442563
NCL30,OUT017,2126.9868042133858
FDN22,OUT035,4136.1775872463095
